Date,Formation Date,Portfolio Return,Benchmark Return,Active Return,Portfolio Growth,Benchmark Growth
2007-07-31,2007-06-29,-0.0017217944210767295,-0.0018945718879140496,0.00017277746683732015,0.9982782055789232,0.9981054281120859
2007-08-31,2007-06-29,0.002555081251356439,0.0025115888504126755,4.349240094376344e-05,1.0008288875056357,1.0006122585768684
2007-09-28,2007-06-29,0.03847696364051099,0.03859694065362845,-0.00011997701311746573,1.039337744220563,1.0392328305384528
2007-10-31,2007-06-29,0.029199838274549673,0.029124657961543846,7.51803130058272e-05,1.0696862382644388,1.0695001312702923
2007-11-30,2007-06-29,-0.019597109904151765,-0.019471230904998492,-0.0001258789991532734,1.0487234794902118,1.0486756472614023
2007-12-31,2007-06-29,-0.007341430912354937,-0.007349944475282343,8.513562927406002e-06,1.04102434851937,1.0409679394814502
2008-01-31,2007-06-29,-0.034049328366469414,-0.03371516337703982,-0.0003341649894295917,1.005578168639144,1.0058715353315726
2008-02-29,2007-06-29,0.007430071847553319,0.007960255488915283,-0.0005301836413619636,1.013049686680464,1.0138785297418393
2008-03-31,2007-06-29,0.0013128265680082398,0.0016242577299257139,-0.00031143116191747404,1.0143796452238505,1.0155253297809783
2008-04-30,2007-06-29,0.02046654496243389,0.019817176480729573,0.0006493684817043162,1.0351404918418021,1.035650174461899
2008-05-30,2007-06-29,0.005808938747196639,0.004919536289045668,0.0008894024581509712,1.0411535595536543,1.040745093077921
2008-06-30,2007-06-29,-0.04421818263025456,-0.04351368425670452,-0.000704498373550036,0.9951156413111711,0.9954584397060138
2008-07-31,2008-06-30,-0.01212522119358643,-0.011967073759846214,-0.00015814743374021646,0.9830496440470756,0.9835457151331906
2008-08-29,2008-06-30,-0.01709506381259569,-0.017375169231827574,0.00028010541923188456,0.9662443476511413,0.9664564418855125
2008-09-30,2008-06-30,-0.07704589698178922,-0.07673842778904039,-0.00030746919274883544,0.8917991851827753,0.8922920940086282
2008-10-31,2008-06-30,-0.11949372889267819,-0.1175213278607249,-0.001972401031953286,0.7852347751218335,0.7874287422811075
2008-11-28,2008-06-30,-0.016725275947985136,-0.01550375922835084,-0.0012215167196342955,0.7721015068239668,0.7752206366512981
2008-12-31,2008-06-30,0.052544799183432675,0.052994887965362336,-0.0004500887819296612,0.812671425449258,0.8163033674390705
2009-01-30,2008-06-30,-0.05028546175453234,-0.05055323268260001,0.0002677709280676649,0.771805867565828,0.7750365933653333
2009-02-27,2008-06-30,-0.051557547862647296,-0.05068153547882319,-0.0008760123838241068,0.7320134496081309,0.7357565487613019
2009-03-31,2008-06-30,0.0463708354835516,0.04478850903260637,0.0015823264509452276,0.7659575248516567,0.7687099875912967
2009-04-30,2008-06-30,0.05423108808837026,0.052351283932834974,0.0018798041555352848,0.8074962348538369,0.8089529424136948
2009-05-29,2008-06-30,0.06220792993112473,0.061349545052285764,0.0008583848788389636,0.8577289040512714,0.8585818373994829
2009-06-30,2008-06-30,0.0012170996003857356,0.0011531960954623672,6.390350492336844e-05,0.8587728455576316,0.8595719506220069
2009-07-31,2009-06-30,0.048893349198188274,0.04889520936685672,-1.8601686684466268e-06,0.9007611261774026,0.9016009011135473
2009-08-31,2009-06-30,0.025965209239010988,0.026068030280077745,-0.0001028210410667571,0.924149577292966,0.9251038607043206
2009-09-30,2009-06-30,0.033182208542671975,0.03314324233135532,3.8966211316653065e-05,0.9548149012913234,0.9557648021413163
2009-10-30,2009-06-30,-0.004837698672150414,-0.004765316050334971,-7.238262181544306e-05,0.950195794511197,0.9512102807893271
2009-11-30,2009-06-30,0.031062646082651975,0.030804969454536417,0.0002576766281155579,0.9797113901853226,0.9805122844338834
2009-12-31,2009-06-30,-0.009974965322724455,-0.010412666147720982,0.0004377008249965269,0.9699388030419458,0.9703025373623342
2010-01-29,2009-06-30,-0.015878550265214845,-0.015368154288278382,-0.0005103959769364626,0.9545375810036619,0.9553907782618418
2010-02-26,2009-06-30,0.006187908905718435,0.005951433444103714,0.00023647546161472115,0.9604441726019974,0.9610767228917777
2010-03-31,2009-06-30,0.025027053190832278,0.024151678740529304,0.0008753744503029737,0.9844812599965326,0.9842883391480607
2010-04-30,2009-06-30,0.003522983264219651,0.003520392994621741,2.590269597909766e-06,0.9879495709994383,0.9877534209218853
2010-05-28,2009-06-30,-0.05059834481618562,-0.04937680658835595,-0.001221538227829673,0.937960957945006,0.9389813113000385
2010-06-30,2009-06-30,-0.006034292512107298,-0.004904080806122818,-0.00113021170598448,0.9323010271598294,0.9343764710739839
2010-07-30,2010-06-30,0.05250438340253456,0.052504295898654636,8.750387992667585e-08,0.9812509177364058,0.983435249791993
2010-08-31,2010-06-30,-0.006515387921446614,-0.006443342856415217,-7.204506503139755e-05,0.9748576873590777,0.9770986393004989
2010-09-30,2010-06-30,0.05358606117910129,0.05337090617465544,0.00021515500444584806,1.0270964710348185,1.0292472791019893
2010-10-29,2010-06-30,0.022824179554452192,0.022725281670204687,9.889788424750565e-05,1.0505391053094613,1.0526372134278736
2010-11-30,2010-06-30,-0.029557822120602654,-0.02963917515627552,8.135303567286672e-05,1.0194874573039872,1.021437914683071
2010-12-31,2010-06-30,0.03942539578733145,0.03898451496381938,0.0004408808235120687,1.059681153808417,1.0612581763526456
2011-01-31,2010-06-30,0.007606058009160672,0.007578475249845115,2.7582759315556565e-05,1.067741150135498,1.0693008951758298
2011-02-28,2010-06-30,0.017233054614127,0.017068146838987483,0.0001649077751395174,1.086141591689534,1.0875518798697517
2011-03-31,2010-06-30,0.003193865417380621,0.0032465648098948014,-5.269939251418025e-05,1.08961058175761,1.0910826875318715
2011-04-29,2010-06-30,0.035203989446902055,0.03523132826272494,-2.7338815822883222e-05,1.1279692211790378,1.129522979858083
2011-05-31,2010-06-30,-0.009762338457395584,-0.009744739927229094,-1.759853016648945e-05,1.116957603872363,1.1185160721775371
2011-06-30,2010-06-30,-0.007091980610977497,-0.006893436233465882,-0.000198544377511615,1.1090361622024163,1.1108056529578747
2011-07-29,2011-06-30,0.0040564275998727795,0.004059099456807369,-2.6718569345893575e-06,1.113534887100031,1.1153145235804145
2011-08-31,2011-06-30,-0.025843692798701526,-0.02585417580250994,1.0483003808414021e-05,1.084757033557181,1.0864789858126738
2011-09-30,2011-06-30,-0.053121687717599564,-0.05311790461347978,-3.783104119782499e-06,1.0271329091710868,1.028767498679726
2011-10-31,2011-06-30,0.051135237296134145,0.05106884115592533,6.639614020881313e-05,1.079655594216219,1.0813054626561793
2011-11-30,2011-06-30,-0.02191186608949327,-0.021977082680736525,6.521659124325563e-05,1.0559983254129808,1.0575415231002525
