Date,Objective Value,Weight Sum,Min Weight,Max Weight,Max Abs Active,Hit Active Bound Count
2007-06-29,-0.005005279267021487,0.9999999999999999,0.003531809764606012,0.20474678918375452,0.02,2
2008-06-30,-0.003007189228452974,0.9999999999999999,0.003144854300546834,0.25513154065570315,0.014814210469219102,0
2009-06-30,-0.00795561911266265,1.0,0.0029179991683291806,0.32906172260912675,0.00017049073697648215,0
2010-06-30,-0.008652342225067241,1.0,0.003210816850452859,0.3099927958900093,0.0013356681061619906,0
2011-06-30,-0.01087514512884761,1.0,0.003410688383159272,0.30814054069234004,0.0012400812113604817,0
2012-06-29,-0.011214893137579065,1.0,0.0027945140239751774,0.303719248661927,0.012461354677579063,0
2013-06-28,-0.012082511779119539,1.0,0.002985122964751397,0.2852047699774171,0.00943629616252957,0
2014-06-30,-0.0063472384239862505,1.0,0.0032281503913291127,0.27903027854656065,0.007599065276183148,0
2015-06-30,-0.005342450079943586,0.9999999999999999,0.003584525087121968,0.23842625859241764,0.019999999999999993,2
2016-06-30,-0.004414141759649921,1.0,0.003192131151942404,0.28432675067199636,0.0022585529329248732,0
2017-06-30,-0.003109785777997676,1.0,0.003334464318170309,0.24335512794263234,0.02,2
2018-06-29,-0.0033010509023664297,1.0,0.0032219595790629243,0.2531559728589644,0.005632087845754918,0
2019-06-28,-0.0035262282804229554,1.0,0.0030149874372327377,0.25204545576518134,0.014560688519985931,0
2020-06-30,-0.005225326234680759,1.0,0.002476390017123853,0.2668369079048891,0.020000000000000018,2
2021-06-30,-0.006504865654455026,1.0,0.0038052004159113213,0.2420475965554776,0.019999999999999997,2
2022-06-30,-0.0074858373981019155,0.9999999999999998,0.003611071956780883,0.23894826140999295,0.01873982359466921,0
2023-06-30,-0.011598566250143804,0.9999999999999999,0.003861762325530903,0.24735635284161564,0.0019012367184229953,0
2024-06-28,-0.013180252303632315,1.0,0.0043345197932197835,0.22820376070658743,0.0045243035011969385,0
