Date,Objective Value,Weight Sum,Min Weight,Max Weight,Max Abs Active,Hit Active Bound Count
2007-06-29,-0.0071105111338870776,1.0,0.0,0.20474678918375452,0.020000000000000004,4
2008-06-30,-0.004211207152336928,1.0,3.8812482780711715e-20,0.24994575112492226,0.01999999999999999,1
2009-06-30,-0.01171599485920754,1.0,0.0028294038316204495,0.33783817252624754,0.008660484523478318,0
2010-06-30,-0.012764290791944084,1.0000000000000002,0.0008928022095975808,0.33129837259369227,0.020000000000000018,2
2011-06-30,-0.01621952478228039,1.0,0.0033757851322419,0.3225181879865343,0.013160194875960263,0
2012-06-29,-0.016731615465321432,0.9999999999999998,0.0024985380613518314,0.33242503330844625,0.016311664083971788,0
2013-06-28,-0.018101861526065816,1.0,0.0005526552244981129,0.3146265158878748,0.020000000000000018,2
2014-06-30,-0.009432339426334835,1.0,0.002683313994953285,0.2666293438227438,0.020000000000000018,2
2015-06-30,-0.007846315876481692,1.0000000000000002,0.0,0.23842625859241764,0.02,4
2016-06-30,-0.006524933109251451,0.9999999999999999,0.0031450875639742137,0.2846986563569018,0.0028473282779950815,0
2017-06-30,-0.004546213105708586,0.9999999999999999,2.077548786495256e-19,0.24335512794263234,0.02,2
2018-06-29,-0.0048108445154458855,1.0,0.0029796282557625806,0.25172979180603144,0.0070582688986878805,0
2019-06-28,-0.005086373033782475,1.0000000000000002,0.002527267616587593,0.24660614428516728,0.019999999999999997,2
2020-06-30,-0.007670462345809866,1.0,7.127166921403776e-05,0.2668369079048891,0.020000000000000018,2
2021-06-30,-0.009589025882627888,0.9999999999999999,0.0017125417151585207,0.2420475965554776,0.019999999999999997,2
2022-06-30,-0.011009731953836078,1.0,0.0034621198726615524,0.24161141577020492,0.01605747564464463,0
2023-06-30,-0.01703829250256852,0.9999999999999998,0.003797955754384075,0.25969778006585353,0.012813329162002868,0
2024-06-28,-0.01917060272452109,1.0000000000000002,0.0,0.25272634713520575,0.01999999999999999,1
