View,Long Asset,Short Asset,Q_annual,Omega_multiplier,Comment
Bloomberg Barclays Global Inflation-Linked USD - Bloomberg Barclays Global Aggregate x USD,Bloomberg Barclays Global Inflation-Linked USD,Bloomberg Barclays Global Aggregate x USD,0.0015,8.0,Weak inflation-protection tilt inside the bond sleeve.
MSCI EM Value NR USD - MSCI EM Growth NR USD,MSCI EM Value NR USD,MSCI EM Growth NR USD,0.0005,12.0,Very weak EM value-over-growth tilt.
