Date,Formation Date,Portfolio Return,Benchmark Return,Active Return,Portfolio Growth,Benchmark Growth
2007-07-31,2007-06-29,-0.0013511424138709118,-0.0018945718879140496,0.0005434294740431379,0.9986488575861291,0.9981054281120859
2007-08-31,2007-06-29,0.0024640638620712888,0.0025115888504126755,-4.7524988341386774e-05,1.0011095921470057,1.0006122585768684
2007-09-28,2007-06-29,0.038535480962936325,0.03859694065362845,-6.145969069212831e-05,1.0396878317769995,1.0392328305384528
2007-10-31,2007-06-29,0.029268485992263914,0.029124657961543846,0.00014382803072006747,1.0701179205176918,1.0695001312702923
2007-11-30,2007-06-29,-0.01953958969354057,-0.019471230904998492,-6.835878854207639e-05,1.0492082554270714,1.0486756472614023
2007-12-31,2007-06-29,-0.007130703609982789,-0.007349944475282343,0.00021924086529955412,1.041726662332474,1.0409679394814502
2008-01-31,2007-06-29,-0.03381968457481456,-0.03371516337703982,-0.00010452119777473734,1.0064957951992153,1.0058715353315726
2008-02-29,2007-06-29,0.00660278196196921,0.007960255488915283,-0.0013574735269460724,1.0131414674805546,1.0138785297418393
2008-03-31,2007-06-29,0.0014704512400686548,0.0016242577299257139,-0.00015380648985705903,1.0146312426077764,1.0155253297809783
2008-04-30,2007-06-29,0.020314578504610364,0.019817176480729573,0.0004974020238807907,1.0352430486389623,1.035650174461899
2008-05-30,2007-06-29,0.005811422881477828,0.004919536289045668,0.0008918865924321603,1.0412592837797137,1.040745093077921
2008-06-30,2007-06-29,-0.04377095418282146,-0.04351368425670452,-0.00025726992611693755,0.9956823713769543,0.9954584397060138
2008-07-31,2008-06-30,-0.012041457823060243,-0.011967073759846214,-7.438406321402975e-05,0.9836929040968541,0.9835457151331906
2008-08-29,2008-06-30,-0.01686847856414768,-0.017375169231827574,0.0005066906676798946,0.9670995014303921,0.9664564418855125
2008-09-30,2008-06-30,-0.07626185509154507,-0.07673842778904039,0.00047657269749531994,0.8933466993932021,0.8922920940086282
2008-10-31,2008-06-30,-0.11735217836167697,-0.1175213278607249,0.0001691494990479353,0.7885105181871956,0.7874287422811075
2008-11-28,2008-06-30,-0.015758105588637952,-0.01550375922835084,-0.0002543463602871117,0.7760850861838502,0.7752206366512981
2008-12-31,2008-06-30,0.05156044558358296,0.052994887965362336,-0.001434442381779373,0.8161003790382629,0.8163033674390705
2009-01-30,2008-06-30,-0.05057599670984586,-0.05055323268260001,-2.2764027245852914e-05,0.7748252889531199,0.7750365933653333
2009-02-27,2008-06-30,-0.051162169175318885,-0.05068153547882319,-0.0004806336964956956,0.735183546438385,0.7357565487613019
2009-03-31,2008-06-30,0.045777719285163866,0.04478850903260637,0.000989210252557493,0.7688385724503126,0.7687099875912967
